Mp_code,Mp_name,SUM_Tot_Po,SHAPE_Leng,SHAPE_Area,MP_Class
291134,Mboleni,1088,0.116705782384,0.000252860307,NIP
291135,Mkhanzini,377,0.0645302407763,0.00014564297,NIP
291136,Mampube,706,0.0807521736489,0.0001606227045,NIP
291137,Manxiweni,827,0.0789371561483,0.0002050846495,NIP
291138,Sijuqwini,1382,0.106895671079,0.0002201854435,NIP
291139,Ludumi,1490,0.11987943113,0.0001896187535,NIP
291140,Malongana,33,0.0666336252352,0.000172389816,NIP
291141,Gunuza,43,0.0382775147585,0.0000899771875,NIP
291142,Luphoko,218,0.0782496830383,0.0001578319135,NIP
291143,Bholani A,316,0.0592878415807,0.0001032819385,NIP
291144,Dedeni,997,0.183441521713,0.0003448805125,NIP
291145,Mantusini,1582,0.134378487874,0.00038339961,NIP
291146,Dukulweni,373,0.0527212797402,0.000118113745,NIP
291147,Mphangane,772,0.0957221220822,0.0002111881045,NIP
291148,Njiveni,800,0.0865826246803,0.00025981928,NIP
291149,Buthulo,377,0.0734131466806,0.0001207393235,NIP
291150,Dangwana,871,0.0601654896791,0.00014078922,NIP
291151,Mruleni,224,0.0410660084957,0.0000522113415001,NIP
291152,Ntsonyini,60,0.0591088734761,0.0000720397039999,NIP
291153,Bizana,626,0.0669923941014,0.0001572731435,NIP
291154,Ciyani,381,0.0593988711138,0.000197192341,NIP
291155,Noqhewukana,1234,0.095070396366,0.000275168411,NIP
291156,Ntsimbini B,2801,0.155287898894,0.000694746662,NIP
291157,Ferry Point,57,0.0537846809058,0.0000704377245,NIP
291158,Rhela,1318,0.0663670849995,0.000184823565,NIP
291159,Tombo,774,0.0536524948253,0.000118134415,NIP
291160,Konxeni,620,0.0478430516629,0.000102146894,NIP
291161,Mfundeni,332,0.0390856656918,0.0000474748335001,NIP
291162,Luyengweni,625,0.0902566524424,0.0001779786775,NIP
291163,Sinqa Sedonki,386,0.0600023676661,0.0001201581395,NIP
291164,Tshusha,363,0.0877702526485,0.000138999784,NIP
291165,Mtshekelweni,68,0.051331579738,0.0000778323980001,NIP
291166,Dumase,229,0.0607425739836,0.000069708407,NIP
291167,Mtsila,1106,0.0761713687797,0.0001611481585,NIP
291168,Port St Johns,6442,0.345031601992,0.0007631195065,NIP
291169,Mafusini,278,0.0306795018667,0.0000337923165,NIP
291170,Kugade,258,0.0305051640289,0.000045082859,NIP
291171,Mngazana,705,0.0769943067625,0.000186491502,NIP
291172,Thekwini,1460,0.144181720686,0.0006154847645,NIP
291173,Mabulwini,317,0.0475163525924,0.0000995748219999,NIP
291174,Bholani B,718,0.101633052209,0.0001537345855,NIP
291175,Hlavana,353,0.0589359686051,0.0001442841605,NIP
291176,Cwebeni,1493,0.122249117045,0.0002468026985,NIP
291177,Bheleni,617,0.0949355821667,0.0002000793515,NIP
291178,Mbenengeni,83,0.0435741884471,0.0000582392945,NIP
291179,Butho,1281,0.0830627281246,0.000304361611,NIP
291180,Mahlathini,335,0.0910278439438,0.000181449578,NIP
291181,Kwilini,378,0.0832021273532,0.000201071962,NIP
291182,Lugasweni,432,0.090230712993,0.0002423800655,NIP
291183,Sicambeni,982,0.129623616921,0.000208818149,NIP
291184,Ludalasi,1792,0.130913925216,0.000513263552,NIP
291185,Ingoje,481,0.0543804984438,0.000130384292,NIP
